track_id_src,text_length,all_seg_cnt,total_duration,speech_duration,speech_ratio,nsp06_seg_cnt,nsp06_word_cnt,nsp06_unique_word_cnt
447478522,255,2,60.0,0,0.0,0,0,0
420985741,888,2,60.0,0,0.0,0,0,0
464546074,707,7,60.0,14.340000000000003,0.23900000000000005,1,22,19
4100608,0,0,0,0,0,0,0,0
514512447,136,13,52.980000000000004,48.42,0.9139297848244621,13,25,23
426199505,0,0,0,0,0,0,0,0
421186703,570,30,60.0,0,0.0,0,0,0
49482,255,2,60.0,0,0.0,0,0,0
452452512,162,27,56.0,26.0,0.4642857142857143,12,24,2
4844508,0,0,0,0,0,0,0,0
498903836,306,2,60.0,30.0,0.5,1,3,3
5576454,888,2,60.0,0,0.0,0,0,0
1396850,0,0,0,0,0,0,0,0
465708680,1062,29,60.0,28.0,0.4666666666666667,14,25,6
1772486,1204,28,86.0,0,0.0,0,0,0
512378565,445,2,60.0,0,0.0,0,0,0
436339695,1240,3,60.0,23.64,0.394,1,4,4
526338917,447,1,60.0,0,0.0,0,0,0
4161587,417,2,60.0,30.0,0.5,1,4,2
549780857,0,0,0,0,0,0,0,0
434121388,355,2,60.0,0,0.0,0,0,0
512378566,91,6,59.78,53.959999999999994,0.9026430244228838,6,18,10
4954082,202,7,60.0,25.5,0.425,7,45,34
493369933,224,1,60.0,0,0.0,0,0,0
485156615,446,1,60.0,0,0.0,0,0,0
30396888,534,2,60.0,0,0.0,0,0,0
436960599,0,0,0,0,0,0,0,0
5377630,323,16,86.0,73.0,0.8488372093023255,16,68,31
520282457,0,0,0,0,0,0,0,0
20655993,432,9,60.0,0,0.0,0,0,0
30515344,1197,22,82.24000000000001,0,0.0,0,0,0
4373330,224,1,60.0,0,0.0,0,0,0
465179127,355,2,30.93,0,0.0,0,0,0
449150569,741,2,60.0,0,0.0,0,0,0
30937832,721,3,60.0,19.0,0.31666666666666665,1,30,16
30219992,0,0,0,0,0,0,0,0
549780866,448,4,59.980000000000004,29.980000000000004,0.4998332777592531,3,109,15
423977675,355,2,60.0,0,0.0,0,0,0
31399994,156,26,56.96,28.439999999999998,0.4992977528089887,12,24,2
465879810,254,2,60.0,0,0.0,0,0,0
512378580,443,2,60.0,0,0.0,0,0,0
448839895,92,12,58.120000000000005,38.94000000000001,0.6699931176875432,12,29,17
423987449,888,2,60.0,0,0.0,0,0,0
30997538,648,12,59.0,0,0.0,0,0,0
21467263,680,2,60.0,30.0,0.5,1,112,10
475836267,63,31,59.7,29.900000000000002,0.5008375209380235,1,1,1
431381393,355,2,60.0,0,0.0,0,0,0
2656034,888,2,60.0,0,0.0,0,0,0
1601040,1806,42,84.0,0,0.0,0,0,0
449301770,355,2,60.0,0,0.0,0,0,0
480119675,888,2,60.0,0,0.0,0,0,0
30673538,30,10,62.0,6.0,0.0967741935483871,2,2,1
4842608,0,0,0,0,0,0,0,0
449301783,534,2,60.0,0,0.0,0,0,0
31407295,534,2,60.0,30.0,0.5,1,44,2
3406748,0,0,0,0,0,0,0,0
550617482,886,2,60.0,0,0.0,0,0,0
30300192,355,2,60.0,0,0.0,0,0,0
2656015,355,2,60.0,0,0.0,0,0,0
22319214,740,2,60.0,0,0.0,0,0,0
434423906,108,18,66.0,8.0,0.12121212121212122,4,8,2
466189029,0,0,0,0,0,0,0,0
450556424,888,2,60.0,0,0.0,0,0,0
4842612,0,0,0,0,0,0,0,0
2044913,104,10,60.0,50.0,0.8333333333333334,9,20,16
421285593,706,2,60.0,30.0,0.5,1,111,18
481209199,532,3,77.0,0,0.0,0,0,0
2883237,61,3,30.0,30.0,1.0,3,10,10
421001950,55,11,60.0,0,0.0,0,0,0
466804271,1131,30,88.84,0,0.0,0,0,0
494836359,614,2,69.08,9.079999999999998,0.13144180660104224,1,16,6
434297861,532,3,72.01,0,0.0,0,0,0
430551765,107,18,59.84,26.720000000000006,0.44652406417112306,3,6,3
31399377,238,2,60.0,30.0,0.5,1,1,1
4432407,592,13,59.6,7.600000000000001,0.12751677852348994,1,70,31
420649350,251,8,59.0,40.96,0.6942372881355933,8,47,30
532550670,447,1,87.15,0,0.0,0,0,0
465179123,322,2,60.0,30.0,0.5,1,2,2
2656017,0,0,0,0,0,0,0,0
549780851,445,2,60.0,0,0.0,0,0,0
471431306,1765,2,60.0,0,0.0,0,0,0
532662453,90,13,64.48,45.400000000000006,0.7040942928039703,13,14,12
452493935,335,7,60.0,35.0,0.5833333333333334,5,44,31
4548123,0,0,0,0,0,0,0,0
1583968,0,0,0,0,0,0,0,0
518939018,164,15,60.0,49.0,0.8166666666666667,15,25,25
427290736,510,15,60.0,0,0.0,0,0,0
481811021,888,2,60.0,0,0.0,0,0,0
30108495,888,2,60.0,0,0.0,0,0,0
421559387,888,2,60.0,0,0.0,0,0,0
488839295,534,2,60.0,0,0.0,0,0,0
3961113,444,2,60.0,0,0.0,0,0,0
492922899,43,3,55.900000000000006,10.860000000000007,0.19427549194991064,3,8,8
427699806,1505,35,70.0,0,0.0,0,0,0
25841224,483,14,60.0,34.0,0.5666666666666667,9,61,44
485798127,90,30,60.0,4.0,0.06666666666666667,2,2,1
4911017,1806,42,84.0,0,0.0,0,0,0
4840208,0,0,0,0,0,0,0,0
1670853,0,0,0,0,0,0,0,0
435436444,223,2,60.0,0,0.0,0,0,0
512809049,0,0,0,0,0,0,0,0
2986739,0,0,0,0,0,0,0,0
446599845,255,2,60.0,0,0.0,0,0,0
30911912,355,2,60.0,0,0.0,0,0,0
4842588,486,2,60.0,30.0,0.5,1,10,2
549780867,255,2,60.0,0,0.0,0,0,0
433742744,355,2,60.0,0,0.0,0,0,0
